taxa, Yield_MI18 , Yield_MI19 , Yield_NE18 , Yield_NE19 , SW_MI18 , SW_MI19 , SW_NE18 , SW_NE19 , FeBio_MI18 , FeBio_MI19 , Fe_MI18 , Fe_MI19 , Fe_NE18 , Fe_NE19 , Zn_MI18 , Zn_MI19 , Zn_NE18 , Zn_NE19 ,Chr07pos29169848,CT_MI,CT_NE,Seed_type,Country,ID,STRUCTURE,Genepool
YBC063,"1,969.80","1,923.00","1,949.00",989.6,39.3,38.6,33.8,29.9,107,118,58.4,64.4, NA ,49.2,20.7,27.6, NA ,25.6,TT,28.7,60.5,Manteca,Netherlands,PI432679,Andean,Andean
YBC064,"2,038.70","2,313.60","1,895.80",593.4,47.8,48,43.8,30.5,59.5,61,62.8,63.8,38.7,50.7,27.3,29.2,24.7,25,TT,25.4,36.3,Amarillo (lt),Netherlands,PI432683,Andean,Andean
YBC065,"1,682.20","1,628.30","2,041.00",620,33.6,37,31.1,28.8,33.5,33,73.4,67.6,42.5,49.5,30.5,33.1,26.6,27.6,TT,25.2,51,Canary,Netherlands,PI432684,Andean,Andean
YBC066,"2,190.50","1,688.10","2,502.00",802.5,51.3,57.6,44.1,32.1,32,40,64.9,58.2,36.7,55.7,27.6,28.6,28.5,26.6,TT,22.8,57,Mayocoba,Netherlands,PI432685,Andean,Andean
YBC067,"2,383.00","1,733.00","2,086.00",338,34.7,46.9,34,29.9,32.5,25,63.9,59.1,43.3,40.3,30.7,30.8,27.7,27.8,TT,28.2,50,Canary,Netherlands,PI432686,Andean,Andean
YBC068,"2,156.70","1,718.10","1,959.40",842.9,47.9,50.7,48.5,32,53,41,67.8,64.4,44.8,50.2,28.2,32.9,29.3,28.1,TT,26,43.3,Canary,Netherlands,PI432688,Andean,Andean
YBC069,"1,967.50","1,541.30","3,178.90",635.1,49.1,52.2,43.6,31,56,48,70.9,60.1,49.6,49,30.3,30.4,27.1,27.1,TT,24.7,47.8,Canary,Netherlands,PI432691,Andean,Andean
YBC070,"1,930.30","1,500.50","1,547.20",627.3,38.8,45.9,38,29.5,48.5,28.5,89.8,63.8,39.8,51.9,32.2,27.9,22.7,27.9,TT,27.7,49,Canary,Netherlands,PI432698,Andean,Andean
YBC071,"2,400.00","1,732.20","2,211.80",227.7,32,37.6,32.5,28.9,108.5,108,63.8,57.9,33.7, NA ,25.7,28.2,24.3, NA ,NN,19.3,23.5,Manteca,United States,PI433611,Andean,Andean
YBC072,"1,959.00","2,230.20","1,714.70",425.7,40.8,42.2,34.6,30.3,52,41.5,71.4,66.5,46,54.6,26.6,29,24.2,29,TT,27.6,49,Canary,Mexico,PI449406,Andean,Andean
YBC073,"2,274.60","2,354.80","1,468.20",439,38.8,43.9,35,30.1,40,38.5,69.7,65.2,39.9,58.6,30.7,25.1,24.4,32.8,TT,27.5,61.3,Canary,Mexico,PI449407,Andean,Andean
YBC075,"2,174.10","1,853.90","1,256.40",630.4,41.3,38.7,34.3,29.7,46,23.5,56.9,75.8,38.5,50.1,24,29.9,22.8,26.8,TT,35.8,37.5,Amarillo (dk),Netherlands,PI458586,Andean,Andean
YBC076,"1,571.10","1,195.20","2,579.20","1,026.20",42.4,42.1,38.1,30.3,106,114.5,49.6,61.2,57.7,53.8,21.1,24.6,19.8,23.8,TT,28.5,41.8,Manteca,Netherlands,PI458592,Andean,Andean
YBC077,"2,295.60","1,999.50","2,005.70","1,220.40",20.2,21.7,19.7,27.2,30.5,26.5,61.3,68.7,46.9,55.9,31.9,30.3,25.8,30,TT,35.7,67.3,Amarillo (dk),Mexico,PI476701,Mesoamerica,Middle American
YBC078,"1,962.50","1,803.60","3,111.90","1,251.70",21.5,26.2,20.4,27,41,21.5,63.9,64,48.6,48.3,25,26,24.4,28.3,TT,29.6,61.3,Amarillo (dk),United States,PI476861,Jalisco&Durango,Middle American
YBC079,"2,394.00","1,913.90","2,177.00",968.8,48.6,51.2,45.3,31.4,60,34.5,59.1,64.9,51.1,52.9,31.6,28.4,25,24.9,TT,22.6,45.5,Amarillo (lt),Netherlands,PI486347,Andean,Andean
YBC080,"2,761.50","2,186.30","1,361.60",507.1,45.6,43.9,34.4,30,53.5,40.5,50.3,38.6,46.8,63.3,26.5,17,24.7,32.2,TT,27.4,51.3,Canary,Mexico,PI533286,Andean,Andean
YBC081,"2,389.10","1,905.70","1,417.40",661.4,43.1,41.6,34.8,30.6,45.5,34.5,82.2,76.9,60.5,61.2,31.9,27.8,22.8,28.9,TT,28.4,57.5,Canary,Mexico,PI533322,Andean,Andean
YBC082,"2,306.50","1,618.80","1,261.00",632.6,44.2,41.7,36,30.2,50.5,43.5,78,67,36.9,51.9,29.9,35.2,19.3,25.6,TT,32,75,Canary,Mexico,PI533323,Andean,Andean
YBC083,"2,192.00","1,940.10","1,474.70",730.7,39.6,41.6,34,30,53.5,43.5,65,64,52.2,58.9,28.5,29.3,24.4,27.6,TT,29.1,46.5,Canary,Mexico,PI533325,Andean,Andean
YBC084,"2,123.40","1,820.30","1,823.90",562.9,41.4,41.8,33.9,30.1,54,44,56.4,65.9,53.5,63.2,25.2,28.3,23.2,28.8,TT,27.5,53.5,Canary,Mexico,PI533332,Andean,Andean
YBC085,"1,970.40","1,898.90","1,555.80",736.5,41,43.1,32.3,29.7,53,46.5,62.5,63,41,55.3,28.1,30.3,23.3,28.7,TT,26.3,37.8,Canary,Mexico,PI533337,Andean,Andean
YBC086,"2,370.40","2,634.20","1,525.80",570.1,36.7,40.7,33.9,29.8,76.5,49.5,60.7,74.4,57.8,53.1,24.2,27.5,22.7,29.2,TT,30.4,45.5,Canary,Mexico,PI533355,Andean,Andean
YBC087,"1,738.40",535.8, NA , NA ,48.3,54.3, NA , NA ,50,40.5,56.6,57.5, NA , NA ,27.2,25.4, NA , NA ,TT,20.2,NA,Mayocoba,Ecuador,PI533364,Andean,Andean
YBC088,"2,493.50","2,220.40","1,530.00",577.7,42.6,42.6,35.2,29.9,22.5,30,60.5,66.8,49.7,60.7,27.5,27.8,28.3,30.7,TT,27.6,56.3,Canary,Mexico,PI533392,Andean,Andean
YBC089,"1,856.00","1,405.80","1,810.50",860.9,40.8,41.6,35,30,29,40,65,68.8,44.9,48.8,27.7,26,29.3,24.9,TT,26.5,49.5,Canary,United States,PI533445,Andean,Andean
YBC090,"2,288.60","1,567.70","1,447.90",953.7,42.9,41.5,35.6,30.3,27,35.5,59.7,74.3,42.5,45.8,25.1,31.4,25.1,28.1,TT,30,57.5,Canary,United States,PI533444,Andean,Andean
YBC091,"1,805.90","1,415.00","1,865.90",772.9,35,38.5,33.4,28.8,48,81,85.4,74.1,41.6,52.4,34.2,29.9,23.2,25.7,TT,28.5,40,Canary,Mexico,PI533489,Andean,Andean
YBC092,"2,264.00","1,723.40","1,551.80",629,39.4,40.5,33.2,29.9,24.5,37,96.4,66.3,42,60.3,33.9,31.2,23,30.4,TT,27.6,48,Canary,Mexico,PI533494,Andean,Andean
YBC093,"2,166.60","1,996.40","1,077.10",617.9,34.5,39.3,29.3,29.7,27.5,25.5,77.1,60.1,40,56.4,32.8,31.3,30.9,28.5,TT,30,62.3,Canary,Mexico,PI533506,Andean,Andean
YBC094,"2,064.00","1,810.50","2,830.90","1,634.70",24.1,23.5,25.9,28,29,26.5,73.8,62.6,44.2,55.4,27.8,23.9,29.5,22.5,TT,25.4,44.3,Amarillo (dk),United States,PI549902,Jalisco&Durango,Middle American
YBC095,"2,764.90","1,773.90","1,729.70",728.9,49.5,47.6,37.7,31,19,19,79.1,64.2,54.6,51.4,29.3,28.2,25.7,26.2,TT,28.7,64.5,Canary,United States,PI632356,Andean,Andean
YBC096,"1,871.10",721.6,"3,089.50","1,233.60",38.6,37.8,42,30.4,115,110.5,54.9,58.1,41.9,44.2,26.8,27.9,22.1,26,TT,22.5,35.5,White,Albania,W618676,Jalisco&Durango,Middle American
YBC097,"1,813.50","1,489.50", NA , NA ,41.8,44.1, NA , NA ,25,23,70.3,67.4, NA , NA ,30,27.8, NA , NA ,TT,22.9,NA,Amarillo (dk),United States,W618761,Andean,Andean
YBC098,"2,051.80",907.5,"1,004.20",119.1,42.7,43,35.7,28.8,71,26.5,84.7,66.6,38.7,49.5,29.6,25,20.7,26.5,TT,30.2,34.8,Canary,United States,W618783,Andean,Andean
YBC099,"1,537.40","1,038.90","1,725.20","1,232.10",31.9,34.3,28.1,29.9,97.5,64,61.8,64.3,48,56.9,28.8,23.8,22.4,27.2,TT,25.6,127.3,Amarillo (dk),United States,PI640975,Jalisco&Durango,Middle American
YBC100,"1,878.50","1,055.90", NA , NA ,38.8,32.8, NA , NA ,25.5,24,50.7,48.1, NA , NA ,25.4,25.3, NA , NA ,TT,31.3,NA,Canary,Bulgaria,W612332,Andean,Andean
YBC101,"2,430.60","1,531.20","1,997.90",633.4,52.8,57.6,49.5,32.4,109,113,58.6,61,38.5,49.6,25.1,27,23.6,25,TT,25.3,34.5,Manteca,Bulgaria,W612325,Andean,Andean
YBC102,"1,660.10","1,500.20","1,319.70",283.3,51.5,59.3,46.4,32,74.5,75,82.5,55,50.1,60,36.5,30.6,28.7,35.3,TT,27,36.8,White and red mottled,Ukraine,PI661861,Andean,Andean
YBC103,"1,512.70","2,246.50","2,262.70",560.5,60.2,59,49.5,31.8,113.5,118,68.8,59.1,75.9,57.9,28.8,29.3,26.9,27.4,TT,21.3,33,Manteca,Ukraine,PI661862,Andean,Andean
YBC105,"2,323.00","1,698.90","2,029.90",625.2,50.8,48.1,46.2,32.1,68.5,92,68.5,78.9,60.8,46.9,28.9,36.6,32.3,33.8,TT,28.5,35.3,Manteca,Bulgaria,PI661640,Andean,Andean
YBC106,"2,124.10",869.1,"1,592.10",628.3,34.7,31.8,30,28.5,19.5,14.5,53,53.6,37.7,44.6,24.6,31.2,25,29,TT,29.9,44.3,Amarillo (lt),Bulgaria,PI661644,Andean,Andean
YBC107,"1,707.30","1,573.90","1,556.40",581.1,54.8,50.4,44.3,31.4,33.5,23.5,65,71.9,53.9,60.8,27.1,32.6,31.4,28.6,TT,28.2,39.8,Canary,Bulgaria,W69751,Andean,Andean
YBC108,"2,454.60","1,964.60","1,509.10",617.1,43.9,42.5,33.5,29.9,29,33,54.1,57.7,45.2,48.9,21.9,26.6,25.9,25.5,TT,24.8,40.8,Canary,Russian Federation,PI640942,Andean,Andean
YBC109,"1,991.20","2,060.50","2,014.30",617.4,46.7,49.6,41.1,31,63.5,63.5,90.5,61.3,39.2,49,36.3,27.2,22.9,23.5,TT,28.3,44.5,Canary,United States,W614867,Andean,Andean
YBC111,"1,220.50","1,080.80","2,219.80",966.9,22.8,21.6,19.9,27.1,91.5,93.5,69.3,58.4,47.9,42.9,25.5,28.9,25.4,26.1,NN,24.3,111.8,Mayocoba,Italy,Zolfino,Admix,Admixture
YBC112,"2,130.10","2,316.10","1,399.20",645.2,40.2,41.1,34.6,30,33.5,32,71.9,57.5,44.2,52.2,33.6,29.2,26.4,27.2,TT,22.8,44,Canary,NA,Ireland Creek Annie,Andean,Andean
YBC113,"2,127.30","1,846.90","1,986.80","1,115.20",36.1,37.2,31.3,29.7,24.5,22,77.8,66.8,38.8,46.1,25.2,29.3,32.1,22.4,TT,24.9,52.3,Amarillo (dk),United States,Marafax,Andean,Andean
YBC114,"2,811.70","2,122.10","1,987.60",696.3,50.4,49,44.5,32.1,58,62.5,56,56.7,38.3,38.9,25,24.8,25.8,21.9,TT,23.8,63,Canary,United States,Y1604 ,Andean,Andean
YBC115,"2,033.70","1,916.00","1,542.80",864.6,43.6,46,38.7,30.9,71.5,30,68.2,77.5,46.9,58,26.3,31.7,21.9,23.2,NN,27.6,44,Amarillo (dk),United States,Y1608 ,Andean,Andean
YBC116,"1,850.40",974.2,"2,279.50",797,37.8,35.3,36.1,29,103,96.5,51.6,49.8,58.1,38,20.3,25.4,26.3,21.2,GG,24.7,58,Mayocoba,United States,ADP0646,Andean,Andean
YBC117,"2,184.60","2,070.50","2,088.30",693.9,35,43.3,36.7,29.5,65,67,81.5,95.7,46.8,54.9,24.8,33.1,25.4,26.4,TT,26.7,66.8,Canary,Africa,Masindi yellow (kidney long),Andean,Andean
YBC118,"1,882.70","1,616.90","1,892.80",600.4,41,49.1,37.9,30.1,55,51,79.9,59.9,41.5,47,29.8,26.9,28.7,24.3,TT,29.3,35.8,Canary,kenya,ADP0524,Andean,Andean
YBC119,"2,493.50","1,563.90","2,026.30",586.4,38,40.3,36.4,30.2,51,53,69.2,67.5,43.8,59.9,34.9,28.7,29,29.9,TT,26.3,51.5,Canary,Uganda,MOORE88002,Andean,Andean
YBC120,"1,800.10","1,845.40","1,148.70",889.4,34.9,41.1,30.9,28.9,47,44,74.4,95.8,51.7,54,26.7,32.7,34.1,26.6,TT,28.5,40.8,Canary,Uganda,Masindi yellow (oval),Andean,Andean
YBC121,"2,497.80","2,273.30","1,991.20",858.5,42.9,41,34.7,29.8,106,104,75.3,71.1,36.2,59.2,28.5,30.9,23.4,26,TT,24.8,39,Amarillo (lt),Tanzania,ADP0761,Andean,Andean
YBC122,"2,066.30","1,314.10","1,231.00",305.5,39,40.1,33.4,29.4,105,102.5,66.4,60.2,47.4,46.9,30.3,28.8,26.9,28.1,GG,21.8,55.5,Mayocoba,Canada,ADP0781,Andean,Andean
YBC123,"2,114.30","2,042.20","1,782.60",481.6,45.5,40.9,36.7,30.3,99.5,94,64,61.1,41.5,49.6,26.3,26.8,31.3,28.8,GG,27.6,65.3,Mayocoba,Canada,ADP0779,Andean,Andean
YBC124,"2,269.80",982.9,"2,593.00",717.6,35.7,42.1,36.3,30.2,108.5,117.5,71.8,74.1,36.3,54.2,24.1,37.2,25.7,28.9,TT,20.2,82.5,Manteca,Angola,ADP0518,Andean,Andean
YBC125,"1,806.30","1,244.80","2,252.70","1,044.60",38.1,43.2,35.4,30.3,63.5,53.5,89.6,60.7,52.6,51.5,27.7,28.1,25.9,24.1,TT,35.2,65,Canary,Angola,ADP0523,Andean,Andean
YBC126,"2,047.90","1,105.20","1,919.80",661.6,41.2,44.8,42.4,30.6,104.5,95.5,75.3,74.2,37.9,52,25.1,25.5,27.4,20.8,GG,27,43.8,Mayocoba,United States,Y11405,Andean,Andean
YBC127,"2,210.00","1,246.40","2,020.00",737.8,38.8,40.7,36.8,28.9,119.5,97.5,48.7,45.3,38,40.1,21.5,24.7,26.9,21.9,GG,31.8,63,Mayocoba,United States,DBY-28-1 (will be released as Patron),Andean,Andean
YBC128,"2,180.90","1,587.80","2,524.30",550.1,39,40.9,31.7,29.1,76.5,70.5,89.5,58.1,46.9,44.5,26.1,25,21.1,22.5,TT,25.2,54,Green-yellow,Angola,ADP0520,Andean,Andean
YBC129,"2,667.90","1,974.90","2,772.90",910.5,48.2,51.3,50.3,32.5,112.5,114.5,77.2,59.4,35.8,47.8,27.1,28.5,18.5,25,TT,20.3,30.3,Manteca,Angola,ADP0512,Andean,Andean
YBC130,"2,052.30","2,115.70","2,324.20",589.7,43.6,51.5,43.6,30.4,45,32.5,77.8,67.5,58,48,29.3,31.7,26.1,23.4,TT,24,42.5,Green-yellow,Burundi,ADP0468,Andean,Andean
YBC131,"2,255.20","1,509.40","1,974.90",733.2,30,32.5,28,28.5,81,80.5,71.9,85.3,50.8,50.9,29.1,38,26,29.8,TT,20.6,58,Amarillo (lt),East Africa,ADP0462,Mesoamerica,Middle American
YBC132,"3,165.00","1,974.90","3,867.00","1,474.50",42.9,43.9,39.2,31.2,19,15.5,60.6,49.9,41.8,39.9,22.3,20.7,28.4,24.1,TT,26.4,33.3,Amarillo (dk),Tanzania,ADP0007,Admix,Admixture
YBC133,"2,045.50","1,897.20","2,247.50",574.7,41.8,47,38.3,29.5,14.5,12.5,74.5,74.1,36.4,56.8,32.1,33.2,26.4,30.5,TT,32.2,65.3,Brown,Tanzania,ADP0027,Andean,Andean
YBC134,"2,318.70","2,394.90","3,073.90",263.2,53.6,63.7,48,31.7,26.5,18.5,75.2,62.7,57,56.1,30.4,31.9,24.9,29.9,TT,20,77.3,Brown,Tanzania,ADP0037,Andean,Andean
YBC135,"2,602.90","1,945.70","1,944.20",845.8,40.4,42.4,34.4,29.6,66.5,77,72.5,56.1,44,46.2,25.1,25.8,25.1,25,TT,30.1,59.5,Amarillo (dk),Tanzania,ADP0111,Andean,Andean
YBC136,"1,466.80","1,311.00","2,050.50",507.7,35.8,37.1,29.1,28.7,35,30,112.5,65.3,64,49.9,30.9,28.9,24.5,25.1,TT,31.3,68.8,Canary,Angola,ADP0513,Andean,Andean
YBC137,"2,148.70","1,344.70","2,442.80",652.1,36.5,39.7,35.8,29.3,151,105.5,85.5,67.7,32.9,52.5,28.6,32.6,24.6,25.5,TT,20.4,95.3,Manteca,Angola,ADP0521,Andean,Andean
YBC138,"3,299.40","1,739.30","3,932.40","1,898.00",26.3,28.7,24.5,28.2,46.5,18.5,52.9,61.5,36.8,60.5,22.7,28.3,24.9,27.5,TT,39.7,85.3,Amarillo (dk),Angola,ADP0522,Jalisco&Durango,Middle American
YBC139,"2,018.80","1,582.80","1,624.10",120,49.1,58.5,42.6,29.7,27.5,20,63,68.6,46.2, NA ,31.3,32.3,23.3, NA ,TT,21.5,54.8,Amarillo (dk.) with brown stripes,Tanzania,ADP0004,Andean,Andean
YBC140,"2,824.20","2,150.80","2,317.70",490.8,43,42.4,33.7,29.9,35.5,23.5,64.2,56.5,60.3,44.1,28.8,26.7,27.6,26.4,TT,24.1,56.5,Amarillo (dk),Tanzania,ADP0014,Andean,Andean
YBC141,"2,121.40","1,861.80","1,722.00",196.6,40,52.5,39.8,31,23.5,12.5,71.4,64.3,38.3,52.8,33.7,30.8,28,28.4,TT,25.4,46,Beige and brown stripes,Tanzania,ADP0019,Andean,Andean
YBC142,"2,189.10","1,486.10","1,767.70",649,45.8,46.6,40.3,30.8,50.5,58,57.8,60.9,37.4,47.4,27.5,24.2,28,24.5,TT,32.1,35,Canary,Tanzania,ADP0021,Andean,Andean
YBC143,"2,305.50","1,678.90","2,470.40",366.4,47.8,50,46,30.7,37.5,35,61.9,61.2,36,43.7,27.6,28.5,22,24.4,TT,25.5,30.8,Canary,Tanzania,ADP0024,Andean,Andean
YBC144,"2,365.50","1,484.00","2,578.60",626.3,46.3,46.4,36.5,29.7,27.5,19,69.1,57,45.3,49.5,26.7,24,25.3,28.1,TT,29.7,40,Amarillo (dk),Tanzania,ADP0028,Andean,Andean
YBC145,"2,816.40","2,444.60","2,777.00","1,124.00",53.2,53.7,47.5,31.6,27.5,14.5,69.8,77.8,39.4,54.2,26.9,32.8,26.4,25.5,TT,24.6,57.3,Brown,Tanzania,ADP0047,Andean,Andean
YBC146,"2,300.90","1,680.00","2,002.30",525.7,32.1,36.6,29.1,28.6,53,37,71.9,59.5,61,51.3,27.8,24.8,29.4,21.2,TT,24.1,62.8,Canary,Tanzania,ADP0064,Andean,Andean
YBC147,"1,992.20","1,512.70","1,603.00",166.1,28.8,36.3,29.8,27.6,29,15.5,70.2,68.7,36.5, NA ,28.9,33.4,26.3, NA ,TT,28,36.8,Canary,Tanzania,ADP0066,Andean,Andean
YBC148,"1,876.60","1,316.20","1,566.00",298.7,32.3,33.8,28.4,28.2,30.5,25,67.8,80,40.7,47,23.1,29.7,24.8,27.7,TT,23.3,31.5,Canary,Tanzania,ADP0067,Andean,Andean
YBC149,"2,216.30","1,738.00","2,300.70",782.4,48,55,42.5,31.2,34.5,30,52.6,62.8,62.4,44,20.1,27,21.4,21.4,TT,24.7,45.3,Green-yellow,Tanzania,ADP0071,Andean,Andean
